response_ID;Stadsdeel;Contact_gehad;freqcontact;Categorie_contact;Totstand;polben_Controlestraat;polben_Controleverkeer;polben_Verkeerdstraat;polben_Verkeerdverkeer;polben_Praatje;polben_Anders;polben_geenantwoord;Polben_hulp;Polben_thuis;Polben_uiterlijk;Polben_overig;Polben_bevragen;Polben_verdacht;Polben_locatie;Polben_aansprekenvriend;Polben_informatiegeven;Polben_teruggeven;Polben_verkeersongeval;Polben_arrestatie;stel_terecht;Onterecht_niksverkeerd;Onterecht_etniciteit;Onterecht_onschuldig;Onterecht_niksverkeerdverkeer;Onterecht_nietenige;Onterecht_Overig;Onterecht_onterecht;Onterecht_onduidelijk;Onterecht_overlast;Onterecht_nietingevuld;Onterecht_onbeleefdagent;stel_achtergrond;polben_gevolg_niets;polben_gevolg_waarschuwing;polben_gevolg_arrestatie;polben_gevolg_bekeuring;polben_gevolg_anders;polben_gevolg_nvt;polben_gevolg_geenantwoord;polben_gevolg_praatjemaken;polben_gevolg_controle;polben_gevolg_info;polben_gevolg_weggerend;polben_gevolg_staande;polben_gevolg_beslag;pobent_gevolg_overig;pobent_gevolg_hulp;waarom_zelfben;stel_beleefd;stel_luisteren;stel_rechtvaardig;rapportcijfer;Geslacht;Leeftijd;Leeftijdscategorie;Herkomst_def;opleidingnu_nee;opleidingnu_LBO_VMBO;opleidingnu_MAVO_VMBO_ULO_MULO;opleidingnu_HAVO_VWO_HBS_MMS;opleidingnu_MBO_BOL_BBL;opleidingnu_HBO;opleidingnu_WO;opleidingnu_anders;opleidingnu_nietzeggen;opleidingnu_geenantwoord;hoogstafgerond;stel_rondkomen
50405992;7;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;9;1;56;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;5
50306914;7;1;52;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;1;0;0;1;0;0;0;0;0;0;0;99999;5;5;5;10;2;54;4,00;3,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;4
50305672;7;1;52;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;1;0;0;1;0;0;0;0;0;0;0;99999;2;2;2;10;2;54;4,00;4,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;4
50080946;5;1;24;4;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;10;2;53;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;5
50066360;1;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;8;1;51;4,00;8,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;5
50624690;4;1;2;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;7;2;45;3,00;7,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;4
50557669;3;1;5;3;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;99999;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;2;2;3;1;44;3,00;8,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;1
50404844;5;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;4;4;4;8;1;40;3,00;8,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5
50637841;8;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;3;3;7;1;35;3,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;5
50746362;5;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;9;2;33;2,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;5
